,0
487,"4605 southeast 36th, Portland, OR 97202"
488,"1611 East Avenue, Mc Lean, VA 22101"
489,"1502 Wall St, Everett, WA 98201, Everett, WA 98201"
490,"N Dodge Boulevard and E Edison Street, Tucson, AZ 85716"
491,"N Dodge Boulevard and E Edison Street, Tucson, AZ 85716"
492,"Woodbury town center- outside LA Fitness, Irvine, CA 92620"
493,"18111 Nordhoff St., Northridge, CA 91325"
494,"Watermark Tower Garage -- Spring/Western, Seattle, WA 98101"
495,"700 Front St, Trader Joe's, Santa Cruz, CA 95060 "
496,"100 baumer hall, Norte Dame, IN 46556"
497,"100 LINCOLN VILLAGE CIRCLE 303, Larkspur, CA 94939"
498,"Pine Bluff Ave and E Harding St, Orlando, FL 32806"
499,"Room 418 Zonario apt 1001 W StMary rd, Tucson, AZ 85745"
500,"Hollywood/Schrader Boulevard, Los Angeles, CA 90028"
501,"11 SOMERS ST APT 1, Brooklyn, NY 11233"
502,"9525 Blake ln, APT 204, Fairfax, VA 22031"
503,"47xx Ravenna Ave, Seattle, WA 99016"
504,"Roslyn and 6th, Denver, CO 80230"
505,"6th and Roslyn, Denver, CO 80230"
506,"1637 Westbridge, Ft. Collins, CO 80525"
507,"White Center near Saars supermarket, West Seattle, WA 98106"
508,"Shoreline near Oakland Yacht Club, Alameda, CA 94501"
509,"150, Melrose Ave E Apt 105, Seattle, WA 98102"
510,"Morris chico, Albq, NM 87123"
511,"Cheit Ln9, Berkeley, CA 94720"
512,"2000 E main street(Kroger), Columbus, OH 43209"
513,"Metra Station, Arlington Heights, IL 60004"
514,"9th and Ash, Portland, OR"
515,"St. Claud , New Orleans, LA 70117"
516,"Williamson Park, Morrrisville, PA"
517,"1621 Warmsprings ave, Boise, ID 83712"
518,"Flatirons Crossing Mall, Broomfield, CO 80020"
519,"Caltrain #232 Departing Sf At 8:45am, Arriving San Jose 10:11am, CA 94110"
520,"McLeod Hall, Charlottesville, VA 22904"
521,"San Luis Rey/ocean front walk, San Diego, CA 92109"
522,"San Luis Rey/ocean front walk, San Diego, CA 92109"
523,"Hancock St x First St, Ithaca, NY 14850"
524,"myclymmonds high school, Oakland, CA 94601"
525,"2600 Woodhead, Houston, TX 77098"
526,"Downtown TC, Houston, TX 77002"
527,"6 MetroTech Center, Brooklyn, NY 11201"
528,"Grand st and McClurg Court, Chicago, IL 60611"
529,"Cassia and Shoshone st, Boise, ID 83705"
530,"1331 W Craig Rd, North Las Vegas, NV 89032, Las Vegas, NV 89032"
531,"Silver lake Rd & Woodcrest Dr, Mounds View, MN 55112"
532,"Lawrence Plaza off of Speer. (Auraria campus), Denver, CO 80204"
533,"2841 Bryant Ave S Parking Garage, Minneapolis, MN 55408"
534,"14973 s. Foxpointe dr. , Oregon City, OR 97045"
535,"Pleasant at Ashmont Street, Melrose, MA 02176"
536,"2000 M STREET NW, SUITE 200, Washington, DC 20036"
537,"1600 E Chestnut Avenue (Walmart parking lot while sleeping in the vehicle), Yakima, WA"
538,"Near Westlake mall, San Francisco, CA"
539,"Lift Bridge Lane, Fairport, NY 14450"
540,"Journal square station , Journal Square, NJ 07306"
541,"23rd Ave S. and Jackson, Seattle, WA 98144"
542,"817 Commercial Street, Grinnell, IA 50112"
543,"4560 University Way, Seattle, WA 98102"
544,"100 Filmore St, Denver, CO 80206"
545,"6134 WOODMAN AVE APT 102, Van Nuys, CA 91401"
546,"Eastern ave and Cherry Ave, Grand Rapids, MI 49508"
547,"Horticulture Research Farm, Lexington, KY 40514"
548,"37th and O St, Washington, DC 20007"
549,"Bike rack corner NW Vernon Place/ Leary Ave NW, Seattle, WA"
550,"Connecticut Ave in front of DC zoo, Washington, DC"
551,"145 Ee 18th Ave, Eugene, OR 97401"
552,"Mountain View Caltrain Station, Mounting View, CA 94040"
553,"2632 N Prospect Ave, Apt F, Milwaukee, WI 53211"
554,"Physics Building, UC Davis, Davis, CA 95616"
555,"2211 West North Loop Blvd., #235, Austin, TX 78756"
556,"501 Olive St, Seattle, WA 98101"
557,"Salem and Cross St., North End, Boston, MA"
558,"7922 Newman Ave, Portland, OR 97203"
559,"50 South Boulder Circle Apt 5025 , Boulder, CO 80303"
560,"800 Dimond Blvd , Anchorage, AK 99515"
561,"16th and mill, Eugene, OR 97401"
562,"9030 Southwestern Blvd, 3114, Dallas, TX 75214"
563,"5604 Southwest Parkway, 2122, Austin, TX 78735"
564,"830 N Columbia Center boulevard Suite I, Kennewick, WA 99336"
565,"2800 Stevens av, Minneapolis, MN 55408"
566,"Commencement Bay Drive and Vassault, Tacoma, WA 98407"
567,"4455 Sandridge Dr, Roy, UT 84067"
568,"Neutaconkanut Hill Conservancy, Providence, RI 02906"
569,"24th ave and Taylor St, Bellingham, WA 98235"
570,"1249 Dean St BSMT, Brooklyn, NY 11216"
571,"NE Wasco and MLK Blvd, Portland, OR 97232"
572,"1419 Zepol, Santa Fe, NM 87507"
573,"Riverton knolls , West Henrietta, NY 14586 "
574,"E Indiana Ave and Sullivan, Spokane Valley, WA 99216"
575,"3221 Carter ave, Marina Del Rey, CA 90292"
576,"1445 Foxworthy Ave, Suite 60, San Jose, CA 95125"
577,"4801 Fauntleroy Way SW, Fauntleroy Apartments lobby bike rack, Seattle, WA 98116"
578,"Holiday Inn Express, PDX, Portland, OR 97220"
579,"Palm ave and hollister, Imperial Beach, CA 92154"
580,"52nd St & E Thomas Rd, Phoenix, AZ 85018"
581,"NE 45th St/Roosevelt Wy, Seattle, WA 98105"
582,"Randolph/ Hamline, St. Paul, MN"
583,"Intercampus Transitway & 23rd Avenue SE, Minneapolis, MN 55414"
584,"summit ridge place, Longwood, FL 32779"
585,"Riverton knolls , West Henrietta, NY 14586"
586,"6021 S.W. 6th Avenue , Topeka, KS 66615"
587,"84 Mariner St., Apt. 7, Buffalo, NY 14201"
588,"Embassy Towers 2625 Park Ave, Apt 1-S Bridgeport CT 06604, Apt 1-S, Bridgeport, CT 06604"
589,"2155 Delaware Avenue Pet Supplies Plus, Buffalo, NY 14214"
590,"44th St se, Bothell, WA 98012"
591,"2032 Belmont Rd NW, #522, Washington, DC 20009"
592,"2608 nw 59th st apt 1, Seattle, WA 98107"
593,"SW Moody and SW Bond (OHSU CHH building 1), Portland, OR 97239"
594,"Seward and Ridge Ave, Evanston, IL 60202"
595,"2751 Shadow View Drive, B438, Eugene, OR 97408"
596,"Mcdowll and power, Mesa, AZ 85215"
597,"785 Dekalb Ave, apt 1F, Brooklyn, NY 11221"
598,"15th and Platte, Denver, CO 80202"
599,"5001 McKinney ranch pkwy, Mc Kinney, TX 75070"
600,"Starvation Creek State Park, Cascade Locks, OR 97014"
601,"Luna Apartments, 6921 Roosevelt Way Ne, 98115, WA Seattle"
602,"462 POWELL ST. AT O'FARRELL, San Francisco, CA 94102"
603,"114 E 37th, New York, NY 10016"
604,"WeWork, 312 Arizona, Santa Monica, CA 90404"
605,"The Dana on Mission Bay hotel 1710 W Mission Bay Dr, San Diego, CA 92109"
606,"291 E,Berrien, Galesburg, IL 61401"
607,"Creative arts team 101 W 31st. street, New York, NY 10001"
608,"W. Salem Avenue and S. Button Street , Indianola, IA 50125"
609,"1100 Helen Drive, Unit 203, Newark, DE 19702"
610,"The Brodie - 2346 Park Center Drive, Westminster, CO 80234"
611,"225 Fluor Daniel dr, Sugarland, TX 77479"
612,"8650 Gulana Ave H-1 garage, Playa Del Rey, CA 90293"
613,"Redlands and Gulana (Garage of Building D at the lowest level), Playa Del Rey, CA 90293"
614,"1701 1st ave south apt 502, Birmingham, AL 35233"
615,"23805-23801 E Cliff D, Santa Cruz, CA 95062"
616,"30th and Noe Street, San Francisco, CA 94131"
617,"Green and Octavia, San Francisco, CA 94123"
618,"Baptist Church parking lot, Shiprock, NM 87420"
619,"Burnside and NW 20 Place , Portland, OR 97210"
620,"29955 sw Boone’s Ferry Rd, Willsonville Oregon, OR 97070"
621,"University and Herman, San Diego, CA 92104"
622,"University and Herman, San Diego, CA 92104"
623,"prudential center, Cambridge, MA 02116"
624,"15508 Main Street, Duvall, WA 98019"
625,"Broad St CVS, Riverton, NJ 08077"
626,"22 NE Tillamook , Portland, OR 97212-3742"
627,"Telegraph and Victoria, Ventura, CA 93003"
628,"5th St S and 2nd Ave S, Minneapolis, MN 55402"
629,"57th & Chestnut, Philadelphia, PA 19139"
630,"12 E 64th ST APT 4, Savannah, GA 31405"
631,"1250 Skipper Rd Apt 111, Tampa, FL 33613"
632,"1408 Massachusetts Ave # 1414, Cambridge, MA 02138"
633,"200 ARBOR STREET, San Diego, CA 92103"
634," 28th & Baseline, Boulder, CO 80303"
635,"Allison St & Barbara Ann Dr, Arvada, CO 80004"
636,"Bleecker Street between Laguardia Place and Mercer Street, New York, NY 10012"
637,"111 West Davis Street, Apt #2515, Dallas, TX 75208"
638,"4615 8th st NW, Seattle, WA 98107"
639,"Texas Street & Polk Ave, San Diego, CA 92104"
640,"Balboa Park Upass and 6th ave , San Diego, CA 92103"
641,"Binney St. and Longwood Ave., Boston, MA 02115"
642,"1250 Skipper Rd Apt 111, Tampa, FL 33613"
643,"New Hampshire and Georgia Ave NW, Washington, DC 20011"
644,"500 bankside way #212, Sacramento, CA 95835"
645,"16011 Lower Harbor Road, Brookings, OR 97415"
646,"Military Road and Pacific Avenue, Spanaway, WA 98444"
647,"Between east 31st and east 34th st, New York, NY 10001"
648,"cherry and 18th, Seattle, WA"
649,"42d Street NW, Washington, DC 20016"
650,"Lloyd Center LA Fitness, Portland, OR Oregon"
651,"Metuchen Train Station, Metuchen, NJ 08837"
652,"Valhalla 6100 Main St, Houston, TX 77005"
653,"4th Street & Grand Parking Garage, Des Moines, IA 50309"
654,"Stanford Memorial Church, 450 Serra Mall, Building 500, Sanford, CA 94305"
655,"Davis Sq. station, near Somerville Community Path, Somerville, MA 02144"
656,"5700 MARTIN LUTHER KING JR Way, Oakland, CA 94609"
657,"1837 Greenwood Road, Roanoke, VA 24015"
658,"3942 NE Martin Luther King Blvd., Portland, OR 97212"
659,"3432 Brook Trails, Grand Rapids, MI 49508"
660,"565 Columbus Ave., Apt. 3a, Boston, MA 02118"
661,"208 Applegrove Circle, El Dorado Hills, CA 95762"
662,"UNION SQUARE, Geary St., San Francisco, CA 94102"
663,"SE 77th and Lincoln, Portland, OR 97426"
664,"8070F South Lake Drive, Dublin, CA 94568"
665,"1305 San Pablo NE, Albuquerque, NM 87110"
666,"55 E 3rd Ave, Hero City, San Mateo, CA 94401"
667,"405 W Cleveland , Baytown, TX 77520"
668,"Bike rack on Church St & Duboce Avenue, San Francisco, CA 94117"
669,"6471 almaden expwy, San Jose, CA 95120"
670,"10426 16th Ave SW, Seattle, WA 98146, Seattle, WA 98146"
671,"Dallas Noth Tollway S. Spring Creek Parkway exit, Plano, TX 75024"
672,"933 Willowleaf Dr Apt 602, San Jose, CA 95128"
673,"933 Willowleaf Dr Apt 602, San Jose, CA 95128"
674,"817n, 10th str , San Jose, CA 95112"
675,"817n, 10th str , San Jose, CA 95112"
676,"Virginia and 3rd parking garage, Seattle, WA 98101"
677,"Garage Alexander alley, Oxnard, CA 93033"
678,"4435 piedmont ave unit 404, Oakland, CA 94611"
679,"Dadeland South Metrorail Station, Miami, FL 33156"
680,"NE Pacific St overpass to Burke-Gilman Trail overpass, Seattle, WA 98103"
681,"1100 block N Washington St, Denver, CO 80203"
682,"Thorndike St and First St, Cambridge, MA 02141, Boston, MA 02141"
683,"Marble and Stanford, Albuquerque, NM 87106"
684,"1828 11th Ave, Sattle, WA 98122"
685,"3570 e mckinkey, Tacoma, WA 98404"
686,"1701 Wynkoop, Denver, CO 80202"
687,"Cass St and Sapphire St, San Diego, CA 92109"
688,"2827 14th Ave. W, Apt. 4, Seattle, WA 98119"
689,"Wal-Mart Mount Dora, FL, Mount Dora, FL 32757"
690,"1200, 400 Dexter Ave N, Seattle, WA 98109"
691,"Georgia Ave NW and Kenyon st NW, Washington, MD 20010"
692,"Gov Nicholls & Miro st (Treme), New Orleans, LA 70119"
693,"180 Bromley Business Park, Brighton, CO 80601"
694,"4900 S Rio Grande Av, Apt 18A, Orlando, FL 32839-2326"
695,"938 Pearl St, Boulde, CO 80304"
696,"1332 35th st NW, Washington, PA 18224"
697,"575 E 11th Upper Ave, Salt Lake City, Utah, UT 84105"
698,"3835 Baldwin Ave, apt 65, Lincoln, NE 68504"
699,"Bosart Ave and east 17th street, Indianapolis, IN 46201"
700,"219 South Avev, Westfield, NJ 07090"
701,"703 Natoma St, Folsom, CA 95763"
702,"170 Jefferson st (Fisherman's Wharf parking), San Francisco, CA 94111"
703,"2651 NW Thurman st., Apt 304, Portland, OR 97210"
704,"Quincy St NW / 7th St, Washington, DC 20011"
705,"690 32nd St. Apt. 203, Bellingham, WA 98225"
706,"Paul S. Sarbanes Transit Center , Silver Spring, MD 20910"
707,"Jane Clark Park Area, Tacoma, WA 98407"
708,"111 E Oak St #1a, Bozeman, MT 59715"
709,"1050 W Hampden, Englewood, CO 80110"
710,"1601 E Market St - Aggie Suites E, Greensboro, NC 27411"
711,"Near Lifeguard Station 14-16, Fort Lauderdale Beach, FL 33308"
712,"707 continental cicle, Mountain View, CA 94040"
713,"SE 105th ave. and stark, Portland, OR"
714,"Woods pool, Lincoln, NE 68501"
715,"1 North Wacker Dr, Chicago, IL 60606"
716,"Bozeman Ave. and Main St.- North East corner of intersection, Bozeman, MT 59715"
717,"3618 McDonald , St. Louis, MO 63116"
718,"Midtown Mall, Anchorage, AK 99508"
719,"2211 Lomas Blvd NE, Albuquerque, NM 87106, Albuquerque, NM 87110"
720,"5736 NE 33rd, Portland, OR 97211"
721,"37500 North Bend Way SE, Snoqualmie, WA 98065"
722,"45 Antilla Ave, Cora Gables, FL 33134"
723,"5955 E 10th Ave Apt 101, Denver, CO 80220"
724,"2800 Adeline, Berkeley, CA 94703"
725,"NE 24th Street and Evergreen Point Road, Medina, WA 98039"
726,"University of Oregon Knight Library, Eugene, OR 97403"
727,"6600 Brentwood Drive, Cedar Rapids, IA 52402"
728,"NE Alberta & 12th, Portland, OR 97211"
729,"445 Porto Allegre St, Indianapolis, IN 46202"
730,"toole ave & 7th ave, Tucson, AZ 85701"
731,"SE 10th ad Division, Portland, OR"
732,"81140th Ave, San Francisco, CA 94121"
733,"2803 Rio Branco, Farmers Branch (Dal, TX 75234"
734,"Corner of Elysian Fields & Decatur, New Orleans, LA 70117"
735,"2700 E Cherry Creek South Dr, Apt 219, Denver, CO 80209"
736,"2700 E Cherry Creek South Dr Apt 219, Denver, CO 80209"
737,"NE RODNEY & TILLAMOOK, Portland, OR 97212"
738,"Elysian Fields & Decatur, New Orleans, LA 70117"
739,"Blake & 20th, Denver, CO 80202"
740,"NE Alberta Ave and 27th, Portland, OR 97218"
741,"Elysian Fields and N. Derbigny , New Orleans, LA 70117"
742,"5224 SE 72nd Ave, Apt 58, Portland, OR 97206"
743,"Right of the Burke Gilman by Bloedel Hall, Seattle, WA 98105"
744,"Idlewood Ave and Shields Ave, Richmond, VA 23220"
745,"Folsom St and Dore St, San Francisco, CA 94103"
746,"1006 W. Lake St, 321, Minneapolis, MN 55408"
747,"100 west oxford street e203, Philadelphia, PA 19122"
748,"11050 STRATHMORE, Los Angeles, CA 90024"
749,"1315 4th Ave #2503, Seattle, WA 98101"
750,"504 Bay Drive South, Bradenton Beach, FL 34217"
751,"1738 N Capital St, NW BSMT, Washington, DC 20002"
752,"14th street and first ave corner, New York, NY 10009"
753,"1258 State St., Marysville, WA 98270"
754,"2210 Sherman Avenue Apt L0, Evanston, IL 60201"
755,"Wal-Mart 2753 Eastland CenterDr, West Covina, CA 91791"
756,"Intersection of Centennial and Vindicator, Colorado Springs, CO 80919"
757,"Mullanphy @ Tyson, Florissant, MO 63031"
758,"1090 Amsterdam Avenue. Corner of 114 Street. , New York, NY 10025"
759,"Funland Employee Lot, Rehoboth Beach, Delaware, DE 19971"
760,"Guadalupe and Kyrene, Tempe, AZ 85283"
761,"T wing bike house , Seattle, WA 98195"
762,"Connecticut Ave and M St, Washington, DC 20008"
763,"6 Canal Park PH1, Boston, MA 02141"
764,"10200 E Dry Creek Rd, Englewood, CO 80112"
765,"N. Damen Ave. and W. Le Moyne St., Chicago, IL 60622"
766,"18th and Hampshire, San Francisco, CA 94110"
767,"mt pleasant st and Harvard st NW, Washington, DC 20009"
768,"515 Tomahawk Island Drive, Portland, OR 87217"
769,"18th and Wazee, Denver, CO"
770,"3720 Montlake Blvd NE, Seattle, WA 98195, Seattle, WA 98195"
771,"Recker & Thomas, Mesa, AZ 85215"
772,"NE 42nd & NE Wygant, Portland, OR 97218"
773,"1770 S. Williams St. , Apt. 401-S, Denver, CO 80210"
774,"Friley Hall Iowa State University, Ames, IA 50012"
775,"41st & Halsey Trader Joe’s , Portland, OR 97213"
776,"2727 Kings Rd, #1105, Dallas, TX 75219"
777,"Froiland Science Complex, W 33rd St, Sioux Falls, SD 57197"
778,"Bijou Theater bike parking by 13th Ave., Eugene, OR 97403"
779,"315 West 14th Strret, Davis, CA 95616"
780,"S. Harney St. & Corson Ave S., Seattle, WA 98103"
781,"Marshall Avenue and Otis, St Paul, MN 55104"
782,"2020 Wheaton Drive Ramada INN, Bozeman, MT 59715"
783,"2020 Wheat ave Ramada Inn, Bozeman, MT 59715"
784,"318 Campus Drive, Stanford, CA 94305, Palo Alto, Stanford University, CA 94305"
785,"6th Ave and Euclid, Tucson, AZ 85721"
786,"440 US-101, Crescent City, CA 95531"
787,"212 loyola ave Saratoga bike storage, New Orleans, LA 70112"
788,"Old orchard elementary , Valencia, CA 91355"
789,"913 E 11th AVE, Davies Hall, Ellensburg, WA 98926"
790,"761 Penninsula Road, Berth 204, Wilmington, CA 90744"
791,"15663 Azalea Springs Ave., Bakersfield, CA 93314"
792,"250 Municipal Dr Room 123, Richardson, TX 75080"
793,"Intersection of 15th St. and Natoma St., San Francisco, CA"
794,"Seattle Central College 1701 Broadway, Seattle, WA 98122"
795,"West End Avenue and 100th Street, New York, NY 10025"
796,"2625 S. Santa Fe Dr., Unit 1A, Denver, CO 80223"
797,"Stanford Hospital ED, Palo Alto, CA 94304"
798,"Nicollet & 7th St, Minneapolis, MN 55402"
799,"404 Sturdy Rd., Apt A9, Valparaiso, IN 46383"
800,"12901 s.e. cooper st. , Portland, OR 97236"
801,"Sea Otter Festival , Monterey, CA 93908"
802,"S 7th and S Adams , Tacoma, WA 98405"
803,"500 glen wood circle , Monterey, CA 93940"
804,"9082 Florin Way, Upper Marlboro, MD 20772"
805,"14737 Sherman way, Van Nuys, CA 91405"
806,"Around Aurora Mall, Aurora, CO 80011"
807,"kings theatre flatbush ave, Brookyln, NY 17543-1207"
808,"13820 s 44th st., Phx, AZ 85044"
809,"Brooklyn and Lake Shore Avenues, Oakland, CA 94606"
810,"Corner of Jax Brewery, bike rack, New Orleans, LA 70119"
811,"536 14th ST APT 1, San Francisco, CA 94103"
812,"640 louisa, New Orleans, LA 70117"
813,"Pier B-24, Jbphh, HI 96860"
814,"Baronne and common st, New Orleans, LA 70112"
815,"Lombard @ N heppner, Portland, OR 97203"
816,"1240 Barton Hills Dr, Apt 122, Austin, TX 78704"
817,"346 CONNECTICUT ST, 202, Buffalo, NY 14213"
818,"Palo Alto train station, Palo Alto, CA 94301"
819,"807 Taft , Houston, TX 77019"
820,"363 W Charleston St Apt 533, Lincoln, NE 68528"
821,"Southern and Stapely, Mesa, AZ 85201"
822,"516 High St, Ridgeway Sigma, Bellingham, WA 98225"
823,"Upper Park Rd and Wardell Pl, Orlando, FL 32814"
824,"West 7th Harbor Freight, Eugene, OR 97405"
825,"It was stolen somewhere in Camden in a store I was told , Camden, NJ"
826,"2249 Carondelet Strret, New Orleans, LA 70130"
827,"8400 Jamestown Dr, Apt 506, Austin, TX 78758"
828,"Jackson st and Leonard st , Brooklyn, NY 11211"
829,"1400 block 17th Street, Washington, DC 20036"
830,"805 Fremont, Manhattan, KS 66502"
831,"6334 Rainier Ave S, Apt. 110, Seattle, WA 98122"
832,"Montlake and N Pacific Street, Seattle, WA 98105"
833,"In front of burien library, Burien, WA 98166-1917"
834,"201 W Betz Rd, Apartment building 4, Cheney, WA 99004"
835,"290 California Drive, Burlingame 94010, Burlingame, CA 94010"
836,"5560 Lexington Ave, Apt 261, San Jose, CA 95123"
837,"1623 Fifth Street, Davis, CA 95616"
838,"Upton and mikinnon @ National Cab Co Yard, San Francisco, CA 941"
839,"6363 st charles, New Orleans, LA 70118"
840,"1013 st. paul, Baltimore, MD 21202"
841,"Manchaca and Slaughter, Austin, TX 78735"
842,"Crossing between Beverly Street and Causeway Street, Boston, MA 02114"
843,"Davis Square MBTA stop, Somerville, MA 02144"
844,"Target 2831 E Eastland Center Dr, Eest Covina, CA 91791"
845,"1210 Polett Walk, Philadelphia, PA 19122"
846,"Mission St and Steuart St, San Francisco, CA 94105"
847,"Colfax and federal, Denver, CO 80033"
848,"1050 El Camino Real, San Carlos, CA 94070"
849,"801 Moro St Apt 5, Manhattan, KS 66502"
850,"2109 Diamond St (glen park bart), San Francisco, CA 94131"
851,"1111 Engineering Drive, Boulder, CO 80309"
852,"214 SBSt, Lake Worth, FL 33460"
853,"MARC Camden Station, Baltimore, MD 21230"
854,"855 BRANNAN STREET UNIT 571, San Francisco, CA 94103"
855,"111 N Bridgeton Rd Slip 3, Portland, OR 97217"
856,"11th Street and Mount Vernon, Philadelphia, PA 191123"
857,"SeaTac Airport, Seattle, WA 98158"
858,"2800 N Main St 92705, Santa Ana, CA 92705"
859,"8801 St. Thomas Drive, #81, Pasco, WA 99301"
860,"Pony Express Self Storage 180 Bromley Business Pkwy , Brighton, CO 80601"
861,"1035 Broadripple Ave, Indianapolis, IN 46220"
862,"17th and Clayton, San Francisco, CA 94114"
863,"1618 Black Lake Blvd, Olympia, WA"
864,"724 north 30th, Lincoln, NE 68503"
865,"44 Krog Street, Atlanta, GA 30307"
866,"NE Thompson St & MLK, Portland, OR 97212"
867,"Alameda and S Depew, Lakewood, CO 80226"
868,"1301 N AW Grimes Blvd, Round Rock, TX 78665"
869,"2629 Meade Avenue, Apt. B, San Diego, CA 92116"
870,"1st and Morton (B-Line), Bloomington, IN 47404"
871,"150 3rd avenue , Charlestown, MA 02129"
872,"3577 s Kingsburg Cv#22, Magna, UT 84044"
873,"Hemmenway Street, Boston, MA 02115"
874,"715 57th street, Charleston, WV 25304"
875,"100 W89TH ST, New York, NY 10024"
876,"1140 Texas Ave Tolman Hall, Grand Junction, CO 81501"
877,"West Street & 320 Hillcrest Ave, Ames, IA 50014"
878,"Multnomah County Library - Isom Operations Center - 205 NE Russell St, Portland, OR 97212"
879,"quarry lakes n arroyo park , Fremont, CA 94544"
880,"26th and steele, Portland, OR"
881,"915 NW 45th ST, Seattle, WA 98197"
882,"Ann Arbor Pioneer High School. 7th entrance, Ann Arbor, MI 48103"
883,"34th Ave SW & Findlay St, Seattle, WA 98136"
884,"3621french ave , Sacramento, CA 95821"
885,"16th and Newton NW, Washington, DC 20010"
886,"Seattle, 98107, WA 98107"
887,"NE 15TH Ave & Halsey St, Portland, OR 97232"
888,"Federal and mexico, Denver, CO 80236"
889,"Federal and mexico, Denver, CO 80236"
890,"Sequoia and pacific beach drive , San Diego, CA 92109"
891,"Westfield Mall on Market St, San Francisco, CA 94117"
892,"504 Grand St. G1, New York, NY 10002"
893,"Ballard Ave and NW Vernon Pl, Seattle, WA 98107"
894,"8162 Richmond Ave. Apt.1211, Houston, TX 77063"
895,"NE Pacific St and NE Thurston Pl, Seattle, WA 98105"
896,"Art Space commons, Salt Lake City, UT 84101"
897,"Dollar Store off Foster in SE, Portland, OR 97206"
898,"Cedar Road & Fairmount Blvd, Cleveland Heights, OH 44106"
899,"tantra and walden circle, Boulder, CO 80305"
900,"4th & NY Ave NW, Washington, DC DC"
901,"Mountain View Drive, Murray, UT 84107"
902,"Thomas Jefferson’s & K st, Washington, DC 20007"
903,"425 s fairfax, West Hollywood, CA 90048"
904,"Issaquah, Wa 98027, WA 98027"
905,"Target Field, Minneapols, MN 55401"
906,"1824 E Park Place, M Ilwaukee, WI 53211"
907,"Jay st and Johnson st , Brooklyn, NY 11201"
908,"8162 Richmond Ave. Apt.1211, Houston, TX 77063"
909,"SilverLake Fabrication, Mears, MI 49436"
910,"E 42nd Street/Edmund Blvd, Minneapolis, MN 55406"
911,"1700 w. Olive, Springfield, MO 65802"
912,"Haight and Pierce, San Francsico, CA 94117"
913,"7178 N Jackson Ave. , 103, Fresno, CA 93720"
914,"450 Mass Ave, Cambridge, MA"
915,"549 fell street apt 8, San Francisco, CA 94102"
916,"500 E Riverside, Austin, TX 78704"
917,"Brighton Ave and Malvern St, Boston, MA 02215"
918,"New York, United States, NY 10002"
919,"bus 16-dexter; jefferson ave, Detroit, MI"
920,"Garfield St and Graves Ave., San Luis Obispo, CA 93401"
921,"407 S Spalding, Beverly H Ills, CA 90212"
922,"1 North on ramp by 2195 41st Ave, Capitola, CA 95010"
923,"Dobson and University, Mesa, AZ 85201"
924,"Hoover and oxford st, Canton, OH 44703"
925,"5325 58TH ST, Kenosha, WI 531442300"
926,"PO Box 2185, Wolfeboro, ME 03894"
927,"1599 N Williams, Denver, CO 80218"
928,"S 9th and cypress st , Philadelphia, PA 19107"
929,"7001 seaview ave nw, dock g-45, Seattle, WA 98117"
930,"4055 9th Ave NE Apt 201, Seattle, WA 98105"
931,"12722 Millennium Drive, Playa Vista, CA 90094"
932,"72nd Duke St , Portland, OR 97206"
933,"1537 NW 56th St, Unit 214, Seattle, WA 98107"
934,"Baynes street lafayette street, Buffalo, NY 14213"
935,"6th and Lawrence, Tacoma, WA 98406"
936,"2214 Nob Hill Ave N, Seatte, WA 98109"
937,"2901 Ocean Park Blvd #118, Santa Monica, CA 90405"
938,"880 State Road 136 Ste. #1, Baraboo, WI 53913"
939,"938 Pearl, Boulder, CO 80202"
940,"Car wash, 19th Ave and Bell rd, Phoenix, AZ"
941,"9102 Bryant Ct (APT3A), Indianapolis, IN 46250"
942,"1115 17th Ave, APT 301, Seattle, WA 98122"
943,"2400 E 6th St, apt 202, Austin, TX 78702"
944,"Goodman Theatre, Chicago, IL 60601"
945,"301 W Stassney Ln, Unit 1, Austin, TX 78745"
946,"CHICAGO AVE & WASHTENAW, Chicago, IL 60622"
947,"29 DeForest Avenue (CVS), Summit, NJ 07901"
948,"260 Springdale Street Apt. 23, Athens, GA 30606"
949,"San pablo and 40th, Oakland, CA 94612"
950,"4250 Koval Lane, Las Vegas, NV 89109"
951,"4250 Koval Lane, Las Vegas, NV 89109"
952,"340 S Missouri ave, Indianapolis, IN 46255"
953,"4245 Cortona Cove Unit 207, Oviedo, FL 32765"
954,"3rd &Rose, Venice, CA 90291"
955,"515 Lincoln Avenue, San Jose, CA 95126"
956,"45th and Ortega , San Francisco, CA 94122"
957,"Lake Powell Park, 23104 Lakeview Dr., Panama City Beach, FL 32413"
958,"23104 Lakeview Dr., Panama City Beach, FL 32413"
959,"Montana Stairs/Santa Monica Beach Path, Santa Monica, CA 90402"
960,"2126 Isleta Blvd SW #C1, Albuquerque, NM 87105"
961,"2510 47th , Boulder, CO 80301 "
962,"Cosmo Pl & Taylor St, San Francisco, CA 94102"
963,"NE Hogan and NE 23rd St, Gresham, OR 97030"
964,"The bike path, San Jacinto, CA 92582"
965,"1516 Hancock st. , Portland, OR 97212"
966,"6205 W Colfax Ave, RN 2, Lakewood, CO 80226"
967,"1280 NW MADRAS HIGHWAY UNIT 12, Prineville, OR 97754"
968,"3303 SW Bond Ave, Portland, OR 97293"
969,"9610 se eckler , Milwaukie, OR 97222"
970,"Univeristy of Texas at Dallas, Richardson, TX 75080"
971,"Hartsdale Train Station, Hartsdale, NY 10530"
972,"Valley Parkway and the 15, Escondido, CA 92029"
